,Feature variation,Age (0.07),SexCategory (0.01),HGB (0.22),WBC (0.27),RBC (0.23),MCV (0.16),PLT (0.04)
0,0.0,18.703795293627657,29.78296404984318,88.35213750223122,49.143493038614864,18.97637517105968,22.299209406794787,28.34086987564705
1,7.6923076923076925,20.32616618075802,29.604437587047673,40.71638677336824,36.343859701314926,19.206654965193074,24.954074195275776,32.35268414946154
2,15.384615384615385,22.450002231213183,29.425911124252167,29.50928184684953,18.355726036770392,18.708536621645745,24.275878354257156,32.55702609031951
3,23.076923076923077,23.134426875706552,29.24738466145666,26.43922547152972,17.755529690010118,20.284981704051884,24.487378770750283,30.75625111560659
4,30.76923076923077,25.731001219729876,29.06885819866115,25.324269649550786,17.758783542571546,21.372512197298747,24.64886282501339,30.221224787291014
5,38.46153846153846,27.420029600761588,28.890331735865644,24.291589813768073,17.473374189325877,22.316594276194444,24.758099303861485,28.716922264532634
6,46.15384615384615,27.590624442196702,28.711805273070137,23.611069792348427,17.51018920687809,23.125780924614745,24.9025703575891,28.53703070149343
7,53.84615384615385,28.692843755578036,28.53327881027463,23.243384452906525,18.334808413161184,23.863661718331645,25.090550068423873,28.841684268459574
8,61.53846153846154,29.965007139882193,28.354752347479124,22.3601029333016,18.42117495686321,24.623482775034212,25.248594335693458,28.655192033081455
9,69.23076923076923,33.14969209258047,28.176225884683618,21.940448920092816,19.06525182959481,25.395854405902302,25.44168724341048,28.250505741655264
10,76.92307692307692,33.21755816029036,27.99769942188811,21.461667757482,19.208793211162014,26.41960938894508,25.6758716606176,28.00442152079491
11,84.61538461538461,33.5739944665913,27.8191729590926,20.34819941095972,19.686458767180344,27.84730692568573,26.02924004878919,27.541816653775214
12,92.3076923076923,36.66729264592134,27.640646496297094,19.67623237341584,31.61842907717023,35.748869518652945,27.923447075623255,27.491521389897066
13,100.0,38.843469239007554,27.462120033501588,12.19190664604034,98.79003168322723,91.5756827512346,73.73043969774498,19.198752751829595
