,Feature variation,Age (0.09),SexCategory (0.03),HGB (0.25),WBC (0.19),RBC (0.19),MCV (0.13),PLT (0.12)
0,0.0,24.639015625,42.1359171875,94.41096875,17.789156249999998,9.538406250000001,17.03853125,61.3293125
1,5.2631578947368425,26.472843750000003,41.741624921875,76.62940625,22.426921875,18.364640625,30.186546874999998,54.862484375
2,10.526315789473685,27.898578125,41.347332656249996,70.170359375,25.163000000000004,20.87975,31.870593749999998,49.426453125
3,15.789473684210527,29.111421874999998,40.953040390625,62.421625000000006,26.77425,23.3655,32.849390625000005,46.389203125
4,21.05263157894737,30.715218750000002,40.558748125,55.558984374999994,28.23403125,25.8595,33.633640625,44.475874999999995
5,26.315789473684212,32.770984375,40.164455859374996,50.227999999999994,29.247374999999998,28.249531249999997,34.217859374999996,43.07315625
6,31.578947368421055,34.219140625,39.77016359375,44.908187500000004,30.290703125,30.4276875,34.80871875,41.87921875
7,36.8421052631579,35.343421875,39.375871328125,39.761890625,31.363296875000003,32.604421875,35.331625,40.797875
8,42.10526315789474,36.499874999999996,38.981579062499996,36.50175,32.466375,34.436515625000006,35.858921875,39.82471875
9,47.36842105263158,37.68990625,38.587286796875,31.955984375,33.313984375,36.185296875,36.3194375,38.867546874999995
10,52.631578947368425,38.499828125,38.192994531249994,29.199109375,34.466546875,37.995640625,36.859265625,38.012390624999995
11,57.89473684210527,39.73984375,37.798702265624996,26.685203125,35.94996875,39.691921875000006,37.405328125,37.011843750000004
12,63.15789473684211,40.579375,37.40441,25.51778125,37.161609375,41.256578125,37.95275,36.112078125000004
13,68.42105263157896,41.866578125,37.010117734374994,23.375,38.71353125,43.03490625,38.51209375,35.076859375000005
14,73.6842105263158,43.17315625,36.615825468749996,21.480140625,40.619796875000006,45.034390625,39.15271875,33.916890625
15,78.94736842105263,44.5051875,36.221533203125,19.82340625,42.901281250000004,47.068171875,39.964390625,32.648546875
16,84.21052631578948,45.40290625,35.827240937499994,17.744234375,46.2346875,49.3266875,40.950203125,31.013968749999997
17,89.47368421052633,46.76671875,35.432948671874996,16.599875,50.996031249999994,52.376171875,42.284390625,28.83171875
18,94.73684210526316,48.609328125,35.03865640625,14.788875,59.747343750000006,56.595109375,44.579640625,25.303015625000004
19,100.0,59.356562499999995,34.644364140624994,6.099109375,100.0,91.5690625,84.08384375,5.006734375
