,Feature variation,Age (0.14),SexCategory (0.02),HGB (0.08),WBC (0.31),RBC (0.12),MCV (0.1),PLT (0.23)
0,0.0,6.2164062499999995,24.2523328125,33.23190625,26.481749999999998,14.87109375,22.38809375,71.044046875
1,5.2631578947368425,10.499125,24.00050359375,27.922234375,15.273625,14.799156250000001,19.107812499999998,49.39396875
2,10.526315789473685,10.864703125,23.748674375,25.442749999999997,4.40975,12.787859375,19.94753125,49.28953125
3,15.789473684210527,11.616265625,23.49684515625,26.150015625,4.996453125,19.095421875,19.571234375,30.431765625
4,21.05263157894737,12.745671875000001,23.2450159375,27.920624999999998,6.24790625,19.60775,19.571234375,21.409515625
5,26.315789473684212,15.055671875000002,22.99318671875,24.875078124999998,5.805843749999999,18.280437499999998,19.298078125,17.68975
6,31.578947368421055,22.500937500000003,22.7413575,25.745578125,6.578890625,18.806578125,17.096203125000002,17.666578124999997
7,36.8421052631579,24.731890625,22.48952828125,25.866765625,6.578890625,19.320765625,15.965625,17.532781250000003
8,42.10526315789474,24.175921875,22.2376990625,25.2486875,8.698125,19.65765625,17.760015625,17.0701875
9,47.36842105263158,24.08171875,21.98586984375,23.5914375,10.400828125,19.914234375,17.8289375,13.758890625000001
10,52.631578947368425,24.08171875,21.734040625,20.086265625,12.401031249999999,14.439890624999999,17.8289375,13.603859374999999
11,57.89473684210527,25.84103125,21.482211406250002,20.017765625,13.354046875,21.6931875,18.5691875,13.09884375
12,63.15789473684211,25.84103125,21.230382187500002,19.0731875,15.567953125,21.6931875,19.72875,13.09884375
13,68.42105263157896,26.288109375,20.97855296875,19.0731875,18.493593750000002,22.727328125,19.087234375,13.09884375
14,73.6842105263158,30.891953125,20.72672375,18.75265625,21.0379375,21.256984375,22.9265625,13.127031250000002
15,78.94736842105263,33.58553125,20.47489453125,17.25421875,27.60046875,27.035484375000003,23.064953125000002,13.127031250000002
16,84.21052631578948,33.021046874999996,20.2230653125,17.214109375,34.318390625,28.281640624999998,23.64275,12.089640625000001
17,89.47368421052633,31.004515625,19.97123609375,16.136046875,46.068656250000004,28.59415625,23.64275,13.595921875
18,94.73684210526316,38.53840625,19.719406875,13.752468749999998,61.748515625,20.517953125,29.608687500000002,14.112796875
19,100.0,3.09915625,19.46757765625,7.325828125,88.61815625,51.30004687500001,48.046234375000004,10.440984375
